(Nome_da_concessionaria,CNPJ,E-mail,Telefone,Marca,Modelo,Ano_de_fabricao,Cor,Preco,Disponibilidade_em_estoque,Numero_de_portas,Volume_do_porta_malas,Ar_condicionado,Tipo_de_cambio,Tipo_de_assento,Suspensao_traseira,Tipo_de_guidao, Tipo_Automovel)
Concessionaria E,23.456.789/0001-04,contato@concessionariae.com,(41) 99876-5432,Audi,Corolla,2011,Verde,64772,FALSE,2,272,FALSE,Automatico,NULL,NULL,NULL,carro
Concessionaria B,98.765.432/0001-01,contato@concessionariac.com,(21) 91234-5678,Fiat,Kicks,2011,Amarelo,123606,TRUE,5,501,FALSE,Semi-Automatico,NULL,NULL,NULL,carro
Concessionaria C,65.432.109/0001-03,contato@concessionariac.com,(21) 91234-5678,Volkswagen,Kicks,2010,Prata,77831,TRUE,4,262,FALSE,CVT,NULL,NULL,NULL,carro
Concessionaria B,12.345.678/0001-90,contato@concessionariac.com,(21) 91234-5678,Toyota,HB20,2022,Azul,77831,TRUE,2,599,FALSE,Manual,NULL,NULL,NULL,carro
Concessionaria B,98.765.432/0001-01,contato@concessionariab.com,(41) 99876-5432,Mercedes-Benz,Kicks,2012,Laranja,36518,TRUE,5,317,FALSE,CVT,NULL,NULL,NULL,carro
Concessionaria B,98.765.432/0001-01,contato@concessionariac.com,(21) 91234-5678,Nissan,HB20,2012,Prata,143792,TRUE,2,393,FALSE,Automatico,NULL,NULL,NULL,carro
Concessionaria C,23.456.789/0001-04,contato@concessionariac.com,(21) 91234-5678,Nissan,Corolla,2012,Laranja,50319,TRUE,4,595,TRUE,Semi-Automatico,NULL,NULL,NULL,carro
Concessionaria D,12.345.678/0001-90,contato@concessionariad.com,(11) 98765-4321,Audi,Focus,2024,Azul,37465,TRUE,5,434,FALSE,Semi-Automatico,NULL,NULL,NULL,carro
Concessionaria B,23.456.789/0001-04,contato@concessionariaa.com,(31) 98765-1234,BMW,A3,2013,Cinza,85975,FALSE,5,504,TRUE,Automatico,NULL,NULL,NULL,carro
Concessionaria D,65.432.109/0001-03,contato@concessionariae.com,(11) 98765-4321,Mercedes-Benz,Corolla,2019,Roxo,66498,FALSE,5,357,TRUE,CVT,NULL,NULL,NULL,carro
